TC,TC,TC,msTime
82,0,0,1579748395985
82,0,0,1579748396005
82,0,0,1579748396025
82,0,0,1579748396045
82,0,0,1579748396065
82,0,0,1579748396085
82,0,0,1579748396105
82,0,0,1579748396125
82,0,0,1579748396145
82,0,0,1579748396165
82,0,0,1579748396185
82,0,0,1579748396205
82,0,0,1579748396225
82,0,0,1579748396245
82,0,0,1579748396265
82,0,0,1579748396285
82,0,0,1579748396305
82,0,0,1579748396325
82,0,0,1579748396345
82,0,0,1579748396365
82,0,0,1579748396385
82,0,0,1579748396405
82,0,0,1579748396425
83,0,0,1579748396445
83,0,0,1579748396465
83,0,0,1579748396485
83,0,0,1579748396505
83,0,0,1579748396525
82,0,0,1579748396545
82,0,0,1579748396565
82,0,0,1579748396585
82,0,0,1579748396605
82,0,0,1579748396625
82,0,0,1579748396645
82,0,0,1579748396665
82,0,0,1579748396685
82,0,0,1579748396705
82,0,0,1579748396725
82,0,0,1579748396745
82,0,0,1579748396765
82,0,0,1579748396785
82,0,0,1579748396805
82,0,0,1579748396825
82,0,0,1579748396845
82,0,0,1579748396865
82,0,0,1579748396885
82,0,0,1579748396905
82,0,0,1579748396925
82,0,0,1579748396945
82,0,0,1579748396965
82,0,0,1579748396985
82,0,0,1579748397005
82,0,0,1579748397025
82,0,0,1579748397045
82,0,0,1579748397065
82,0,0,1579748397085
82,0,0,1579748397105
82,0,0,1579748397125
82,0,0,1579748397145
82,0,0,1579748397165
83,0,0,1579748397185
83,0,0,1579748397205
83,0,0,1579748397225
83,0,0,1579748397245
83,0,0,1579748397265
82,0,0,1579748397285
82,0,0,1579748397305
82,0,0,1579748397325
82,0,0,1579748397345
82,0,0,1579748397365
82,0,0,1579748397385
82,0,0,1579748397405
82,0,0,1579748397425
82,0,0,1579748397445
82,0,0,1579748397465
82,0,0,1579748397485
82,0,0,1579748397505
82,0,0,1579748397525
82,0,0,1579748397545
82,0,0,1579748397565
82,0,0,1579748397585
82,0,0,1579748397605
82,0,0,1579748397625
82,0,0,1579748397645
82,0,0,1579748397665
82,0,0,1579748397685
82,0,0,1579748397705
82,0,0,1579748397725
